"","name","proportion","cm1","cm2","p_value","num_meta"
"20","amino sugar and nucleotide sugar metabolism",0.140625,0.875885028970604,8.63741649444986,0.0218004896705845,5
"25","mitochondrial beta-oxidation of medium chain saturated fatty acids",0.1171875,0.7571109089061,4.6698675036363,0.198052393390401,2
"38","retinol metabolism",0.109375,0.791368795903901,4.89019909735338,0.0934792076583899,3
"10","fatty acid elongation in mitochondria",0.0703125,0.794050716085472,5.53016347422635,0.16883789596957,3
"65","c21-steroid hormone biosynthesis and metabolism",0.03125,0.776900129792354,4.54735493152939,0.115070520172781,6
"40","selenoamino acid metabolism",0.0234375,0.67614043223943,3.5838463106602,0.281236093953184,2
"52","vascular smooth muscle contraction",0,0.692647604136851,3.19136695310587,0.157729118032774,2
"51","urea cycle/amino group metabolism",0,0.660811938220968,3.09777295082885,0.271483829472104,3
"49","ubiquinone and other terpenoid-quinone biosynthesis",0,0.641442943766138,3.00994114301348,0.302097970208162,2
"48","terpenoid backbone biosynthesis",0,0.66271415231014,2.86570854062976,0.218662924299346,2
"46","steroidogenesis",0,0.609483673404724,2.31189663416762,0.241181092719611,3
"44","steroid biosynthesis",0,0.335170337647422,1.56534305853535,0.65650259884233,2
"43","starch and sucrose metabolism",0,0.75641263209995,4.20569833545383,0.155228777917623,3
"37","pyruvate metabolism",0,0.659865439668155,2.99661196606601,0.260331608995723,2
"36","pyrimidine metabolism",0,0.412311143230071,1.39312420766516,0.539525685368744,3
"34","purine metabolism",0,0.271640528988036,1.02845322484606,0.715092146134073,3
"33","primary bile acid biosynthesis",0,0.661027966284996,3.97322185884085,0.317616532939027,3
"30","phosphatidylinositol phosphate metabolism",0,0.423330488703037,1.49490705717919,0.533441002579999,2
"24","mitochondrial beta-oxidation of long chain saturated fatty acids",0,0.78404412629204,6.15636636334693,0.198052393390401,2
"23","methionine and cysteine metabolism",0,0.327943151040194,1.10418304796357,0.642640528617774,2
"19","histidine metabolism",0,0.70054562844395,3.40751393042318,0.211525140789205,3
"17","glycine, serine, alanine and threonine metabolism",0,0.588903777772945,2.6294382263132,0.363908429137659,3
"16","glycerophospholipid metabolism",0,0.371605518167877,1.05423940316916,0.552962627175253,3
"15","glycerolipid metabolism",0,0.775241826033945,4.94249553953543,0.177707936862605,2
"13","folate biosynthesis",0,0.684520396887073,3.29181447885314,0.239449646689052,2
"6","drug metabolism - other enzymes",0,0.4951503717793,1.68268138813208,0.423539579510751,2
"5","drug metabolism - cytochrome p450",0,0.572578119685149,4.29595282279995,0.423539579510751,2
"4","degradation of aromatic compounds",0,0.487086398945148,1.6885872635323,0.442800267462916,2
"3","de novo triacylglycerol biosynthesis tg",0,0.682767224531006,3.4518212872254,0.260331608995723,2
"1","cysteine and methionine metabolism",0,0.583759076228562,2.52450305931758,0.363878055590045,2
"67","chemical carcinogenesis",0,0.712635713000723,3.77257507636425,0.226256104329875,3
"66","carnitine shuttle",0,0.803091543463136,6.4909188211708,0.177707936862605,2
"64","biosynthesis of unsaturated fatty acids",0,0.908327793776509,11.5213797309538,0.0826434868572972,3
"63","biosynthesis of plant secondary metabolites",0,0.634057573655366,3.50545465925543,0.340456414412366,5
"62","biosynthesis of antibiotics",0,0.101455340978429,0.337692726474207,0.893166329039924,5
"61","biosynthesis of amino acids",0,0.089908750932046,0.333382334300853,0.907041002592741,2
"60","bile secretion",0,0.588492556685731,2.27484901224067,0.317616532939027,3
"53","aspartate and asparagine metabolism",0,0.519018867030683,1.9914375833728,0.424793501338123,3
"47","arginine and proline metabolism",0,0.576976765694823,2.4016463765028,0.363908429137659,3
"35","androstenedione metabolism",0,0.795026077459869,5.06207547180218,0.138225985365558,2
"32","androgen and estrogen metabolism",0,0.329680512467832,1.13110106776059,0.642640528617774,2
"14","aldosterone synthesis and secretion",0,0.708686147560742,3.41944178216269,0.138225985365558,2
"39","abc transporters",0,0.23688284716737,0.574977739930353,0.707721402906615,2
